Property Character Location Other,PropertyType,Project Requested,First appearance:,,Appears On Cover? (Y/N),Talent:,,,,Talent/Agreement  Notes,Rights/Additional Notes,GUID
,Property,,,,,Marlo Alquiza,"inks, cover inks",WFH,,,,6BD21D88-D77A-9E46-9264-E160F78A8D90
,Property,,,,,Michael Turner,variant cover,WFH,,,,9667E01A-BA4F-A34B-B602-9BEDAFF2DF4A
,Property,,,,,Lary Stucker,variant cover inks,None,,,,03E20C60-3EDF-9E4D-9A78-2D52D1BFB6DA
,Property,,,,,Jeromy Cox,color,N/A,,,,4485F254-E689-D244-82D2-4B0C1287B0FF
Tefé Holland,Character,,Swamp Thing #90,Dec-89,N,Doug Wheeler,writer,WFH,,,,77192698-A40C-424F-B544-E4A8B22F60DC
,Character,,,,,Pat Broderick,pencils,WFH,,,,C10E985A-4335-5F48-ACFF-EAEEE25A0373
,Character,,,,,Alfredo Alcala,inks,WFH,,,,46F0ACB0-26EB-2145-8243-007159C34D39
,Character,,,,,John Totleben,cover,WFH,,,,E910095C-3D93-BB47-99DB-D98DB5A2A20C
,Character,,,,,Tatjana Wood,color,N/A,,,,C85835C8-EEC9-AE40-B616-4C2682E472A6
"Tempest
(Joshua Clay)",Character,,Showcase #94,Feb-89,Y,Paul Kupperberg,writer,None,Y,,,AA6A5203-C00B-774A-A8D3-EFAC4B7165E7
,Character,,,,,Joe Staton,"pencils, inks",Exclusive,Y,,,25C60FCD-FD8E-E44D-83EB-F34095F25A1A
,Character,,,,,Jim Aparo,cover,Exclusive,,,,7CF35FE5-8811-9A48-818A-64387ECACBFB
,Character,,,,,Elizabeth Berube,color,N/A,,,,932D9AA4-1755-AD48-AA55-9A870179839D
"Ten-Eyed Man
(Philip Reardon)",Character,Lego Batman,"Batman #226
""The Man With Ten Eyes""",Nov-70,Y,Frank Robbins,writer,None,,,,D2F83491-F6D7-CB4C-AE6B-74FD7BA97B76
,Character,,,,,"Irving ""Irv"" Novick",pencils,None,,"Novick was an employee of DC Comics from 5/9/67 - 12/28/84.
Deceased",,845D2E47-8C1E-CC4F-8E12-019E85F5FDE2
,Character,,,,,Dick Giordano,"inks, cover inks",N/A,,"Giordano may have been an employee of DC at this time.
Deceased",,FBE628B4-AD39-0E4F-9AA4-61AFCFCD692B
,Character,,,,,Neal Adams,cover pencils,Creator Recognition,,,,4F4F5FA5-5D9E-ED4C-A3F5-83AE5431BD2F
"Terrific Whatzit
(Merton McSnurtle; McSnurtle the Turtle)",Character,Flash 310,"Funny Stuff #1
""The Terrific Whatzit!""",Summer 1944,N,Sheldon Mayer,"writer, cover",None,,"The writer on this work is generally credited as “unknown.” However, the GCD suggests that Mayer may have been the writer, so we include him here to be conservative. Wayne Smith noted that Mayer bio piece in AWODC #5 confirms he was an editor from 1939-1948. Cleared for use in Super Pets film.",,7F178B00-0F9C-8546-9B11-157DA9D5913F
,Character,,,,,Martin Naydel,"pencils, inks",None,,,,152F0717-7A6F-2B45-A185-668E3FC2EA31
Tessa Crowne,Character,,Challengers of the Unknown #1,Aug-04,N,Howard Chaykin,"writer, pencils, inks, cover",WFH,,,,69EBF8FF-2067-2D43-82B8-3AFDB37731D9
,Character,,,,,Rian Hughes,art direction,WFH,,,,BE6F31C8-9BA0-B64E-8ACE-EB4662C681C3
,Character,,,,,Michelle Madsen,color,N/A,,,,4E74C3FE-AEE9-B44D-9698-1DC046BD393A
Tezumak,Character,,JLA vol 1 #66,Jul-02,N,Joe Kelly,writer,Exclusive,,,,593E15BE-331D-7843-B44C-FF6B8F8489CA
,Character,,,,,Doug Mahnke,pencils,WFH,,,,AC5F9398-A2F4-FF4B-B276-00DE6326F3B3
,Character,,,,,Tom Nguyen,inks,WFH,,,,121B74E3-D177-644C-836C-518C4922C8C7
Thanagar,Location,Krypton,Brave & The Bold #34,Feb-61,N,Gardner F. Fox,writer,Creator Recognition,,Deceased Creator recognition agreement with is with heirs.,,ED5FEC51-4474-604E-8350-2F13DA838B17
,Location,,,,,Joe Kubert,"pencils, inks, cover",None,,Deceased,,56BA231A-287F-FD4C-B149-B078903AFA8C
Tharok,Character,,Adventure Comics #352,Jan-67,Y,"James ""Jim"" Shooter",writer,None,,,,365F512B-59B9-0E47-92AE-83F14EEC2EFA
,Character,,,,,Curt Swan,"pencils, cover pencils",None,,Deceased,,5130F63B-A72B-3546-AC95-FF4E37027DC7
,Character,,,,,George Klein,"inks, cover inks",None,,Deceased,,7FFEE01F-58AB-5644-8191-0BC85CBD3C44
Theg Daggle,Character,,Legion of Super-Heroes #8,Jun-90,N,Tom Bierbaum,writer,WFH,,,,F560811B-C2CD-5A4C-9944-7BFDB39E04E6
,Character,,,,,Mary Bierbaum,writer,WFH,,,,AF33DAEA-DCF3-AF48-9500-18F89F554411
,Character,,,,,Keith Giffen,"writer, pencils, cover pencils",WFH,,,,948595FE-D8AB-B045-AAE1-078B2FA6B2B4
,Character,,,,,Chris Sprouse,pencils,WFH,,,,2D1632B3-0E56-4D43-8A92-6C2E3A47094E
,Character,,,,,Al Gordon,"writer, inks, cover inks",WFH,,,,610B874D-3C46-BC44-A730-89AA809ED627
,Character,,,,,Tom McCraw,color,N/A,,,,676B6052-9838-5346-B982-9A243CD84517
"Themyscira
(Paradise Island)",Location,,"as Paradise Island:
All-Star Comics #8
""Introducing Wonder Woman""",Dec-41,N,William Moulton Marston,writer,Marston agreements (7/31/41; 1/15/46; 7/25/51),,Deceased Final agreement is with Estate.,,FD749337-E12C-244A-95C7-ECC91611055A
,Location,,,,,Harry G. Peter,"pencils, inks",Artist,,Deceased,,08C83E1B-EEAE-9F4B-8133-41FA8BBF4CA7
,Location,,,,,Everett E. Hibbard,cover,None,,Deceased,,398F3894-37FD-184B-A8C8-3FAEC98842DC
,Location,,"as Themyscira:
Wonder Woman #1",Feb-87,N,Greg Potter,writer,WFH,,,,47CC4A86-2578-2746-A017-204505D3E352
,Location,,,,,George Perez,"plot, pencils, cover",Continuity,,,,88B430F8-E7D1-5D41-82D6-C119C4F0CE23
,Location,,,,,Bruce Patterson,inks,WFH,,,,4934A807-0261-5D4C-B9DF-15AE2819ABA1
,Location,,,,,Tatjana Wood,color,N/A,,,,D6B18F4F-122C-2040-BB38-9F4707227660
"The Thinker
(Clifford DeVoe)",Character,Flash 402,"All-Flash #12
""Tumble Inn to Trouble""",Fall 1943,N,Gardner F. Fox,writer,Creator Recognition,,Deceased Creator recognition agreement with heirs.,,6F4AF586-48EB-1E4A-9F5D-2BEB2AA7BE51
,Character,,,,,Everett E. Hibbard,"artist, cover",None,,Deceased,,3C0CE700-4BFA-A143-ABC3-9B972B037CAA
"The Thinker
(Cliff Carmichael)",Character,"Suicide Squad
(2016)","as Cliff Carmichael:
Firestorm #1",Mar-78,N,Gerry Conway,writer,Exclusive,1979,,,A9290E3A-CA3A-2A4A-B16B-F3A23DD64CEB
,Character,,,,,Al Milgrom,"pencils, cover",None,1980,,,90225748-442E-6849-BF47-21E3AB8EAA10
,Character,,,,,Klaus Janson,inks,None,,,,8755BF3C-9962-6C47-ADFE-32415797EC87
,Character,,,,,Josef Rubinstein,inks,None,,,,FBD1F2F5-CE37-1742-9EDC-7ECEC92591FA
,Character,,,,,Adrienne Roy,color,N/A,,Deceased,,2A648EEB-8B70-5E44-8D21-2C5D474352E4
,Character,,"as The Thinker:
Firestorm #98",Jun-90,N,John Ostrander,writer,WFH,,,,952961EC-9282-6E46-A2FF-65DBB4A97EA7
,Character,,,,,Tom Mandrake,"pencils, cover",WFH,,,,54B22683-71E8-5547-B22E-A942B72BFAE7
,Character,,,,,Carlos Garzon,inks,WFH,,,,05C94A7A-0D0A-0341-AFD5-B06EF48447BE
,Character,,,,,Nansi Hoolihan,color,N/A,,,,F8FB6D50-92AB-E543-BE8E-A52DDD0F21F8
"The Thinker
(Desmond Connor)",Character,"Suicide Squad
(2016)",Batman: Shadow of the Bat #67,Oct-97,N,Alan Grant,writer,Continuity,,,,EABF92B2-E574-9448-91D2-B662584B5942
,Character,,,,,Norm Breyfogle,pencils,WFH,,Deceased,,4C27E8CE-3110-A840-9913-B4D7E1D60F33
,Character,,,,,Stan Woch,inks,Continuity,,,,7545A072-F2FF-D543-86AC-83039559BA9D
,Character,,,,,Christopher Moeller,cover,WFH,,,,1EA5AA86-D317-434E-9DBB-2E7344F1D723
,Character,,,,,Pamela Rambo,color,N/A,,,,A542CEA8-851A-264D-969C-6F1A8B8FC47A
"The Thinker
(Artificial Intelligence)",Character,"Suicide Squad
(2016)",JSA #9,Apr-00,Y,David Goyer,writer,WFH,,,,60326DA2-C375-9B41-99A0-BE2BA15E73DD
,Character,,,,,Geoff Johns,writer,None,,,,4DE7EFB4-F490-9642-8336-B21DEE41AE3A
,Character,,,,,Stephen Sadowski,pencils,WFH,,,,5AAC7CB6-AC33-F74E-97C9-441C5B8D8E9D
,Character,,,,,"Michael Bair
(Michael Hernandez)",inks,WFH,,,,72D87A7D-A119-4A46-8494-D2EC3F4A7BB6
,Character,,,,,Alan Davis,cover pencils,None,,,,92C510AD-D128-6242-BE6C-9C814EBAD35E
,Character,,,,,Mark Farmer,cover inks,WFH,,,,B1A46106-558A-8044-80CC-4E072F17F2C5
,Character,,,,,John Kalisz,color,N/A,,,,6A195463-7277-1D42-B0BC-8D2B6FB16838
Thomas Wayne,Character,,"Detective Comics #33
""The Batman - How He Came To Be""",Nov-39,N,Bill Finger,writer,Contributor Recognition,Y,Deceased Contributor Recognition Agreement is with heir.,,C96094C5-D822-3645-A0B9-40724B1DE567
,Character,,,,,Bob Kane,"pencils, inks, cover",Services Agreements,Y,Deceased,,26AA8626-F2A7-4540-AB87-D2BBAC0B0629
"Thorn
(Rose Canton)",Character,,"Flash Comics #89
""Introducing the Thorn, the Flash's Newest Opponent""",Nov-47,Y,Robert Kanigher,writer,N/A,,"Kanigher was an employee of DC from 2/3/47 - 5/31/82.
Deceased",,D6E1B109-E197-BF4F-AF08-E312B254B9C6
,Character,,,,,Joe Kubert,"pencils, inks, cover",None,,Deceased,,D9B36FE7-D92E-1747-890B-913BFAA661DC
"Thorn
(Rhosyn ""Rose"" Forrest)",Character,,"Superman's Girl Friend, Lois Lane #105
""Night of the Thorn""",Oct-70,Y,Robert Kanigher,writer,N/A,,"Kanigher was an employee of DC from 2/3/47 - 5/31/82.
Deceased",,16580225-C4D1-1840-A956-FD19FFFA6812
,Character,,,,,Ross Andru,pencils,None,,Deceased,,EB733159-65C4-4440-88F7-85E05A8377B3
,Character,,,,,Mike Esposito,inks,None,,Deceased,,BCABB9A5-E9D9-DF41-A932-F3C7775CC56E
,Character,,,,,Murphy Anderson,cover,None,,Deceased,,A6D67F70-24C5-2244-A3F7-F1E9E88F4A6B
"Thunder
(Gan Williams)",Character,DC Nation Shorts,New Teen Titans #32,Jun-83,Y,Marv Wolfman,writer,Exclusive,1983,,,673A8172-BFC6-9D43-8BA7-02CF2879EF8B
,Character,,,,,George Perez,"pencils, cover",Exclusive,1983,,,57024956-076A-F941-9DED-46E7161AF677
,Character,,,,,Romeo Tanghal,inks,Exclusive,,,,E38B030A-4EF3-F54A-9289-C5982B7D2071
,Character,,,,,Adrienne Roy,color,Exclusive,,Deceased,,6F77D5A9-2AF3-BD42-8F1C-737B1CA2508B
"Thunder
(Anissa Pierce)",Character,DC Nation Shorts,Outsiders #1,Aug-03,Y,Judd Winick,writer,Exclusive,,,,8FFB06C8-D442-BC49-84BB-10C276380B59
,Character,,,,,Tom Raney,"pencils, cover pencils",WFH,,,,792DBB28-96EA-0646-A7C2-0430837AB7D9
,Character,,,,,Scott Hanna,"inks, cover inks",WFH,,,,B56C2679-0EE8-8D49-9CFE-C1E75F131812
,Character,,,,,Gina Going,color,N/A,,,,CBA296B5-B422-6342-87D7-95340EA80E20
"Thunder
(Alexei)",Character,DC Nation Shorts,Teen Titans Annual #1,Jul-12,Y,Tom DeFalco,writer,WFH,,,,ED963182-5EF5-D04C-ACB3-FFEF0BFD55A2
,Character,,,,,Scott Lobdell,writer,WFH,,,,B4CC4030-A9A0-1748-A945-6C7141E5B6D1
,Character,,,,,Brett Booth,"pencils, cover pencils",WFH,,,,0E15A3E7-94FF-AE41-9E12-8B5712A0E8BE
,Character,,,,,Norm Rapmund,inks,WFH,,,,F6A89065-DFF4-D242-AA12-21D910D8FAA3
,Character,,,,,Sal Regla,inks,WFH,,,,68BC4EC0-BEAB-E041-B1D4-923EC034C767
,Character,,,,,John Livesay,inks,WFH,,,,B334312E-D437-2B4C-B012-141142FA3CA8
,Character,,,,,Rob Hunter,cover inks,WFH,,,,2C5EE77F-EB8F-5A42-ADA6-035EC0A14E5A
,Character,,,,,Andrew Dalhouse,color,N/A,,,,4C95D7D0-B159-1F47-8ED2-A26BA16BFF57
Thunderbolt (the genie),Character,Stargirl 201,"Flash Comics #1
""The Kidnapping of Johnny Thunder""",Jan-40,N,John B. Wentworth,writer,Writer-Artist,,"Agreement is undated and untitled
Deceased",Cleared by Wayne Smith on 11/4/20 for character in Stargirl Season 2,D2C09B75-C7C3-7E41-9E8B-EEFEC7D2B980
,Character,,,,,Stan Aschmeier,"pencils, inks",None,,Deceased,,85E6CA15-3F4E-2448-8827-FBEE638302D2
,Character,,,,,Sheldon Moldoff,cover,Writer-Artist,,"Agreement is undated and untitled
Deceased",,31579044-C72D-3343-B467-165C29A1A97E
"Tiger Force
(Mike Tempest)",Character,,Secret Six #1,Apr-68,Y,E. Nelson Bridwell,writer,N/A,,"Bridwell was an employee of DC at this time.
Deceased",,F4B75B1C-0CD7-524B-B7CF-7955E936DD90
,Character,,,,,Frank Springer,"pencils, inks, cover",None,,Deceased,,869EC45B-6E83-4147-8D8C-E243337F0922
"Tigorr
(Taghurrhu; T'ghurrhu)",Character,Krypton,Green Lantern #141,Jun-81,Y,Marv Wolfman,writer,Exclusive,1982,,,B043E101-F21F-9C44-8774-E6EE9A7DDB30
,Character,,,,,Joe Staton,"pencils, inks",Exclusive,1982,,,63D0F1D5-F102-8A47-94BC-8308F658D94C
,Character,,,,,George Perez,cover,None,,,,1AD6F1C4-0A18-2D4C-815A-C1604E07AA98
,Character,,,,,Carl Gafford,color,N/A,,,,BE42E6E8-FD31-C743-937C-4FCAB20CFD84
Tigress,Character,Gotham 201,"Action Comics #1
""The Mystery of the Freight Train Robberies""",Jun-38,N,Fred Guardineer,"writer, pencils, inks",Contributor Recognition,2015,Deceased Contributor Recognition Agreement is with heir.,,466A435D-59B8-5849-96E8-D59102167F18
,Character,,,,,Joe Shuster,cover,Settlement,,Deceased,,A3DC040D-0BD5-914E-BD71-D17710A51AC4
"Tigress
(Paula Brooks; Huntress)",Character,,"Sensation Comics #68
""Wildcat -- Former Crime Fighter""",Aug-47,N,Mort Meskin,"pencils, inks",None,,Deceased,,2412A6E2-81E3-564D-8867-FF0EE667D132
,Character,,,,,Harry G. Peter,cover,Artist,,Deceased,,10DCD801-E5A2-8C4E-8B7D-68E5911362AC
"Tigress
(Artemis Crock)",Character,,"Infinity, Inc. #34",Jan-87,N,Roy Thomas,co-writer,Writer,,,,ED4C5D8E-AB3B-2C4F-A27E-6B9F74800A6F
,Character,,,,,"Dannette ""Dann"" Thomas",co-writer,None,,"We believe that Roy Thomas entered into a separate agreement with Dann Thomas for writing services, but we do not have a copy of it.",,6035948F-3EB3-954F-88D0-33DAE82BABA6
,Character,,,,,Todd McFarlane,"pencils, cover pencils",WFH,,,,396BFC5E-B722-C246-8E2D-F5DA3C7382BC
,Character,,,,,Tony DeZuniga,"inks, cover inks",WFH,,,,23511D5F-3DE6-FE49-B997-70317CDB462F
,Character,,,,,Liz Berube,color,N/A,,,,01BD5AF7-89A9-1B4F-AFA3-A477AA4C70EB
Timandra,Character,Wonder Woman (2017),Wonder Woman #22,Nov-88,N,George Perez,"writer, pencils, cover",Continuity; Exclusive,,,,CAFFE0BE-7AC0-2F40-822E-FA8D222B671A
,Character,,,,,Bob McLeod,inks,WFH,,,,5754276F-0630-2F45-9BAE-AE8DB4F3699B
,Character,,,,,Carl Gafford,color,N/A,,,,6AFBB86F-847E-3B4C-9667-FE0515ED8D78
"Timber Wolf
(Lone Wolf; Brin Londo)",Character,,"Adventure Comics #327
""The Lone Wolf Legionnaire""",Dec-64,Y,Edmond Hamilton,writer,None,,Deceased,,9FFC0E23-33C0-8A48-9270-9A0218CA1C56
,Character,,,,,John Forte,"pencils, inks",None,,Deceased,,D7A7CB90-D21E-6442-A0F1-D945AA8F0D7F
,Character,,,,,Curt Swan,cover pencils,None,,Deceased,,B52D2D5F-F78A-BF49-BC91-08587CA4914C
,Character,,,,,George Klein,cover inks,None,,Deceased,,4CEED6A2-A103-4045-8FB0-8610FD8FEE3C
Timothy Munroe,Character,"Birds of Prey 
(2020)",Gotham Central #32,Aug-05,N,Greg Rucka,writer,WFH,,,,7D8EFB03-44EE-BB4F-A4FF-D386CE81BE7D
,Character,,,,,Steve Lieber,"pencils, inks",WFH,,,,ABBED83F-CDD2-A04B-B74E-B6EB5BDACABF
,Character,,,,,Christopher Brunner,cover pencils,WFH,,,,56A49575-6C0A-564B-8344-ACFAA934C56E
,Character,,,,,Mark Irwin,cover inks,WFH,,,,2876649F-B7B1-5847-9DF8-1CC4FE90B871
,Character,,,,,Lee Loughridge,color,N/A,,,,CFFFD408-5C27-D84A-81A8-59EA3D2CFB49
Tin,Character,,Showcase #37,Mar-62,Y,Robert Kanigher,writer,N/A,,"Kanigher was an employee of DC from 2/3/47 through 5/31/82.
Deceased",,077BBF53-22F6-3A46-8F2B-D4E8294F3BAF
,Character,,,,,Ross Andru,"pencils, cover pencils",None,,Deceased,,28D8335B-4751-C549-B038-6B31E77774BB
,Character,,,,,Mike Esposito,"inks, cover inks",None,,Deceased,,0E8EC24A-4100-C44C-AA3E-2F37ED855774
Tinder-Smith Garden Arena,Location,Supergirl 308,Green Arrow #36,May-04,N,Judd Winick,writer,WFH,,,,E7D925FA-15EA-E14C-90E2-F54D4088E7FC
,Location,,,,,Phil Hester,pencils,WFH,,,,5E14C56B-10A4-964A-98FA-396DE4F5C084
,Location,,,,,Ande Parks,inks,WFH,,,,BA5FCBC0-A275-0E48-AD6F-B37004743DE8
,Location,,,,,Marcos Martin,cover pencils,WFH,,,,258C5B7E-3240-884A-B703-BC05245EED89
,Location,,,,,Alvaro Lopez,cover inks,WFH,,,,C23CC30B-BE20-ED48-AA5B-8A05289C0655
,Location,,,,,Guy Major,color,N/A,,,,F6307714-9C9B-984A-96D3-A5BDA2CACB72
Tobias Whale,Character,,Black Lightning #1,Apr-77,Y,Anthony Isabella,writer,Exclusive; Creator Recognition,2016,,,428FD5B1-986C-A248-9417-E2A9F1D8F351
,Character,,,,,Trevor Von Eeden,pencils,None,2016,,,5DA563CC-4780-1745-8322-ECDA870AACB3
,Character,,,,,Frank Springer,"inks, cover inks",None,,,,A2988F11-ECA6-794E-8CD1-7834A2A42BFD
,Character,,,,,Rich Buckler,cover pencils,None,,,,1B3B758F-6D83-D746-BEB8-79A4B6916B40
,Character,,,,,Liz Berube,color,N/A,,,,59EE5825-A2CB-564D-A77C-2C5F6BA2D37F
"Tokamak
(Henry Hewitt)",Character,"Flash 204
(10/27/2015)",Fury of Firestorm #15,Aug-83,N,Gerry Conway,writer,Writer/Editor,,,,91177FCF-8BB6-4241-AE2A-B1430D92B406
,Character,,,,,Pat Broderick,"pencils, cover pencils",WFH,,,,5A94F6E2-B751-1542-886B-3EA945C50D34
,Character,,,,,"Rodolfo ""Rodin"" Rodriguez",inks,Artist,,,,475302A0-D028-7446-99D7-55963AC8281D
,Character,,,,,Dick Giordano,cover inks,WFH,,"Giordano may have been an employee of DC at this time.
Deceased",,C2EB27E4-B7FE-2E40-B980-EBD12F235389
,Character,,,,,Gene D'Angelo,color,N/A,,,,FF81EDCB-1E4A-0A44-B0D0-C45617EF3900
Tom Curry,Character,,"Adventure Comics #260
""How Aquaman Got His Powers""",May-59,N,Robert Bernstein,writer,None,,"The writer on this work is generally credited as “unknown.” However, several sources suggest that Bernstein may have been the writer, so we include him here to be conservative.
Deceased",,C8BDD763-4B64-FC43-968C-0C841850996F
,Character,,,,,Ramona Fradon,"pencils, inks",Creator Recognition,,,,CAD9B018-F748-764C-A068-8CE4094A5557
,Character,,,,,Curt Swan,cover pencils,None,,Deceased,,16415CE0-0ED6-4B46-B7F7-71975EBE8F84
,Character,,,,,Stan Kaye,cover inks,None,,Deceased,,287A9582-BB53-5847-9B2D-AFC73DB908C6
"Tom Kalmaku
(Pieface)",Character,"Green Lantern
(2011)","Green Lantern #2
""Riddle of the Frozen Ghost Town""",Sep-60,N,John Broome,writer,None,,Deceased,,77A4110A-55F5-B14F-9B07-8D5342712006
,Character,,,,,Gil Kane,"pencils, cover pencils",None,,Deceased,,8E17F126-4920-344B-8A66-FA69C0F68A86
,Character,,,,,Joe Giella,inks,None,,,,0A427AED-E300-F844-8854-C388930DA28B
,Character,,,,,Murphy Anderson,cover inks,None,,Deceased,,439DDF8B-0EB7-634D-B227-987E802FEC88
Tomar-Re,Character,"Green Lantern
(2011)",Green Lantern #6,May-61,Y,John Broome,writer,None,,Deceased,,D0463720-3910-9044-B15C-CE1FB3F3DA85
,Character,,,,,Gil Kane,"pencils, cover",None,,Deceased,,8EBAF1FC-D908-4A43-927B-D39AEB1A0032
,Character,,,,,Joe Giella,inks,None,,,,E24A6F70-2D30-0E49-B5AA-2963FA050DC2
Tony Mantegna,Character,,"Action Comics Weekly #601
""Listening to the Mockingbird""",1988,N,Martin Pasko,writer,WFH,,,,BAB86884-C544-474B-8BAA-557C7DA9B218
,Character,,,,,Dan Spiegle,"pencils, inks",WFH,,,,4CAD91D5-1F0A-8440-B0F8-8D2BF640BFE4
,Character,,,,,Dave Gibbons,cover,WFH,,,,96489AE8-74CA-6B43-ABCF-F7F3F3D9D6D9
,Character,,,,,Carl Gafford,color,N/A,,,,21D7EA8B-E36D-214D-936F-1326F8F2CD3A
Tony Zucco,Character,Titans 107,"Detective Comics #38
""Robin the Boy Wonder""",Apr-40,N,Bill Finger,writer,Contributor Recognition,,Deceased Contributor Recognition Agreement is with heir.,,33314989-5D9C-504C-AF7C-95173C828FB9
,Character,,,,,Bob Kane,"pencils, cover pencils",Services Agreements,,Deceased,,A7EE98E9-483F-2348-881E-1DBA423C0434
,Character,,,,,Jerry Robinson,"inks, cover inks",Settlement,,Deceased,,1DF67DC1-DA30-904A-88E8-7000FE83CF1E
"The Top
(Roscoe Dillon)",Character,Flash 304,"Flash #122
""Beware the Atomic Grenade""",Aug-61,N,John Broome,writer,None,,Deceased,,86112B7F-A44F-854B-9434-D6D77BE03895
,Character,,,,,Carmine Infantino,"pencils, cover pencils",Settlement,2005,Deceased,,8CB5B5A6-138E-5148-9464-823EAF62778A
,Character,,,,,Joe Giella,inks,None,,,,C3AEA021-9B0B-674F-B5AB-42149422B388
,Character,,,,,Murphy Anderson,cover inks,None,,Deceased,,A527900D-0D42-7545-A57A-891F4258DC3B
Topo the Octopus,Character,Necrus,"Adventure Comics Vol 1 #229
""Aquaman's Undersea Partner""",Oct-56,N,None Listed,writer,NA,,,,6D123488-DEFF-2049-BDCC-7CC4FFD217CA
,Character,,,,,Ramona Fradon,"pencils, inks",Creator Recognition,"Yes
2016",(DCBL #225190),,1781DD6A-D07C-B04A-80A1-B5CF2D363219
Tormocks,Property,Supergirl 311,Guy Gardner: Warrior #0,Oct-94,N,"Stephen Scott ""Beau"" Smith",writer,WFH; Continuity,,,,01205F05-C0EA-9048-AD20-91465D18F430
,Property,,,,,Mitch Byrd,pencils,WFH; Continuity,,,,15D3A093-BF53-FA49-8B37-80FCD7C40825
,Property,,,,,Dan Davis,"inks, cover inks",WFH,,,,4AFA895E-056E-8144-B33B-E3F9E2FDF6A8
,Property,,,,,Stu Chaifetz,color,Exclusive,,,,3F9E359E-920F-0F4C-BAF6-79AE1AE42934
"Toymaker
(Cosmo Krank)",Character,Gotham 412,"The Batman Animated Series
""Cash For Toys""",Feb-06,,Stephen Melching,writer,,,,,40A366FB-2189-7E41-AE8C-05625B396336
"The Toyman
(Winslow Schott)",Character,"Suicide Squad
(2016)","Action Comics #64
""The Terrible Toyman""",Sep-43,Y,Don Cameron,writer,None,,"Ghost-writer for Jerry Siegel.
Deceased",,DC5191B0-B1B5-1943-9E8E-E79CE6AC14DC
,Character,,,,,Ed Dobrotka,"pencils, cover",None,,"Ghost-artist for Jerry Siegel.
Deceased",,F1B3DABB-F68C-F14F-91DB-CC6A59A7657B
,Character,,,,,George Roussos,inks,None,,Deceased,,7F6011AA-A96F-084D-B720-E85E4B2B21CD
"The Toyman
(Jack Nimball)",Character,Supergirl 314,"Action Comics #432
""Target of the Toymen""",Feb-74,Y,Cary Bates,writer,None,,,,0AA62004-12E1-0F40-9ED9-B458F28B1CFB
,Character,,,,,Curt Swan,pencils,None,,Deceased,,311B4B69-3E14-F54D-848B-C97EB6222522
,Character,,,,,Murphy Anderson,inks,None,,Deceased,,3A5E0A12-1A39-2A41-97BB-3B3A0E6E66FB
,Character,,,,,"Nicholas Viscardi
(Nick Cardy)",cover,None,,Deceased,,80B38C77-A83C-D449-A026-DA9F25BFD6D4
Traci 13,Character,Traci 13,Superman #189,Feb-03,N,Geoff Johns,writer,WFH,,,,F1245CE7-4E12-9546-B525-E8CB89D28972
,Character,,,,,Pascual Ferry,"pencils, inks",WFH,,,,24461CAD-A656-0142-82BB-9EBC33CEF602
,Character,,,,,Keith Champagne,inks,WFH,,,,833B6903-47E6-0F4F-9BA5-C341AF0068FC
,Character,,,,,John Van Fleet,cover,WFH,,,,4A5097B3-7A05-2A45-A38F-E05C655F2630
,Character,,,,,Tanya Horie,color,N/A,,,,98E6462C-D53E-E148-BC17-6B458EC7E7FC
,Character,,,,,Richard Horie,color,N/A,,,,AB8AEECF-7083-8C42-9DEE-BCD904A394D3
"Trajectory
(Eliza Harmon)",Character,Flash 216,"52 #17
""Last of the Czarnians""",Oct-06,N,Geoff Johns,writer,WFH,,,,E572A8C1-E85F-8340-92AC-B51C9188D60E
,Character,,,,,Grant Morrison,writer,WFH,,,,0DF3473A-FC03-4447-969C-17EF7B8BB28D
,Character,,,,,Greg Rucka,writer,WFH,,,,4AF5DA24-48E1-9848-8488-BD34966A7FE1
,Character,,,,,Mark Waid,writer,WFH,,,,62774D2A-A287-E84F-AF4E-B19533CB61C8
,Character,,,,,Chris Batista,pencils,WFH,,,,E1BE4A3D-C76B-D749-8B7A-C8553328A588
,Character,,,,,Ruy Jose,inks,WFH,,,,233F993E-CF3F-0941-885C-1CE48D1FD6FF
,Character,,,,,Jack Jadson,inks,WFH,,,,AE12CC53-2F99-BB4D-A97A-AB7EAF61281E
,Character,,,,,Jeffrey G. Jones,cover,WFH,,,,34E6952C-F03A-424D-9002-A6B42C07ED97
,Character,,,,,David Baron,color,Exclusive,,,,1EEE136D-A046-C94B-8376-3257385B3A51
Transmatter Cube,Property,Supergirl 209,Justice League of America #107,Sep-73,N,Len Wein,writer,None,,Deceased,,1A3C3C34-5084-9746-8957-41543FF4DDCB
,Property,,,,,Dick Dillin,pencils,None,,Deceased,,0A433BD4-8A55-9049-9B9D-25063D69DFD6
,Property,,,,,Dick Giordano,inks,None,,Deceased,,5B989117-1D11-CC4E-AB28-F04441D4CB46
,Property,,,,,Nick Cardy,cover,None,,Deceased,,2356C906-7307-F64B-A8E0-9F42493EAC71
,Property,,,,,Glynis Wein,color,N/A,,,,18107400-9D82-AA4A-80AA-759339355712
Transmetropolitan,Property,,Transmetropolitan #1,Sep-97,Y,Warren Ellis,writer,Joint Creator/First & Last Rights; Writer; Literary Option,Y,,,6CD22B23-99FC-6142-B270-6BB5DFC78945
